7pix+5pix slit scan
1  -2.323183         -0.001741
2  -1.548790         -0.001104
3  -0.774378         -0.000498
4  0.000053         0.000076
5  0.774502         0.000617
6  1.548969         0.001126
7  2.323454         0.001602
8  1.272371         0.000948
9  0.719184         0.000580
10 0.166005         0.000194
11 -0.387165         -0.000207
12 -0.940325         -0.000626
13 -1.493475         -0.001060
 
short cross scan c
1  0.000058         -0.402925
2  0.000056         -0.302181
3  0.000054         -0.201433
4  0.000053         -0.099573
5  0.000053         0.000076
6  0.000053         0.099728
7  0.000053         0.201600
8  0.000054         0.302368
9  0.000056         0.403140
 
short cross scan nod1
1  -0.945222         -0.403043
2  -0.945215         -0.302307
3  -0.945208         -0.201567
4  -0.945200         -0.099716
5  -0.945192         -0.000076
6  -0.945184         0.099569
7  -0.945175         0.201432
8  -0.945165         0.302191
9  -0.945155         0.402955
 
short cross scan nod2
1  0.945364         -0.401747
2  0.945354         -0.300995
3  0.945344         -0.200238
4  0.945335         -0.098371
5  0.945326         0.001286
6  0.945317         0.100947
7  0.945309         0.202826
8  0.945301         0.303602
9  0.945294         0.404382
 
intrapixel scan c
1  0.000053         0.000076
2  -0.011010         0.000068
3  -0.022074         0.000060
4  -0.033137         0.000052
5  -0.044201         0.000044
6  -0.055264         0.000036
7  0.055370         0.000115
8  0.044307         0.000107
9  0.033243         0.000099
10 0.022180         0.000091
11 0.011116         0.000083
 
intrapixel scan nod1
1  -0.945192         -0.000076
2  -0.956255         -0.000084
3  -0.967319         -0.000093
4  -0.978382         -0.000101
5  -0.989445         -0.000110
6  -1.000508         -0.000118
7  -0.889877         -0.000033
8  -0.900940         -0.000042
9  -0.912003         -0.000050
10 -0.923066         -0.000059
11 -0.934129         -0.000067
 
intrapixel scan nod2
1  0.945326         0.001286
2  0.934262         0.001279
3  0.923198         0.001271
4  0.912134         0.001264
5  0.901071         0.001256
6  0.890007         0.001249
7  1.000644         0.001323
8  0.989581         0.001316
9  0.978517         0.001308
10 0.967453         0.001301
11 0.956389         0.001293
 
7pixel slit scan
1  -2.323183         -0.001741
2  -1.548790         -0.001104
3  -0.774378         -0.000498
4  0.000053         0.000076
5  0.774502         0.000617
6  1.548969         0.001126
7  2.323454         0.001602
 
1-pixel slit scan
1  -2.433809         -0.001834
2  -2.323183         -0.001741
3  -2.212556         -0.001648
4  -2.101930         -0.001556
5  -1.991302         -0.001464
6  -1.880675         -0.001373
7  -1.770047         -0.001283
8  -1.659418         -0.001193
9  -1.548790         -0.001104
10 -1.438160         -0.001016
11 -1.327531         -0.000928
12 -1.216901         -0.000841
13 -1.106271         -0.000754
14 -0.995640         -0.000668
15 -0.885009         -0.000583
16 -0.774378         -0.000498
17 -0.663746         -0.000414
18 -0.553114         -0.000331
19 -0.442481         -0.000249
20 -0.331848         -0.000167
21 -0.221215         -0.000085
22 -0.110581         -0.000005
23 0.000053         0.000076
24 0.110687         0.000155
25 0.221322         0.000234
26 0.331957         0.000312
27 0.442593         0.000389
28 0.553229         0.000466
29 0.663865         0.000542
30 0.774502         0.000617
31 0.885139         0.000692
32 0.995776         0.000766
33 1.106414         0.000839
34 1.217052         0.000912
35 1.327691         0.000984
36 1.438330         0.001056
37 1.548969         0.001126
38 1.659608         0.001196
39 1.770248         0.001266
40 1.880889         0.001334
41 1.991529         0.001402
42 2.102170         0.001470
43 2.212812         0.001536
44 2.323454         0.001602
45 2.434096         0.001668
 
2-pixel slit scan
1  -2.433809         -0.001834
2  -2.212556         -0.001648
3  -1.991302         -0.001464
4  -1.770047         -0.001283
5  -1.548790         -0.001104
6  -1.327531         -0.000928
7  -1.106271         -0.000754
8  -0.885009         -0.000583
9  -0.663746         -0.000414
10 -0.442481         -0.000249
11 -0.221215         -0.000085
