# Pattern name: 1pixel_slit_scan
# Mode: slit
# Frame: idl
# Reference: c
# CARs: CAR-055
# CALs: CAL-032
# Comments:
# Created by: Sloan/Kendrew


Pointing  x   y
  1 -2.4151 -0.0103
  2 -2.3050 -0.0098
  3 -2.1949 -0.0094
  4 -2.0848 -0.0089
  5 -1.9752 -0.0085
  6 -1.8651 -0.0080
  7 -1.7550 -0.0076
  8 -1.6449 -0.0071
  9 -1.5353 -0.0067
 10 -1.4252 -0.0062
 11 -1.3151 -0.0058
 12 -1.2050 -0.0053
 13 -1.0950 -0.0049
 14 -0.9849 -0.0044
 15 -0.8752 -0.0040
 16 -0.7652 -0.0035
 17 -0.6551 -0.0031
 18 -0.5450 -0.0026
 19 -0.4349 -0.0022
 20 -0.3253 -0.0017
 21 -0.2152 -0.0013
 22 -0.1051 -0.0008
 23  0.0050 -0.0004
 24  0.1151  0.0001
 25  0.2247  0.0005
 26  0.3348  0.0010
 27  0.4449  0.0014
 28  0.5550  0.0019
 29  0.6650  0.0023
 30  0.7747  0.0028
 31  0.8847  0.0032
 32  0.9948  0.0037
 33  1.1049  0.0041
 34  1.2150  0.0046
 35  1.3246  0.0050
 36  1.4347  0.0055
 37  1.5448  0.0059
 38  1.6549  0.0064
 39  1.7650  0.0068
 40  1.8746  0.0073
 41  1.9847  0.0077
 42  2.0948  0.0082
 43  2.2049  0.0086
 44  2.3149  0.0091
 45  2.4246  0.0095
