# Pattern name: 1PIXEL_SLIT_SCAN
# Mode: slit
# Frame: det-rel
# Reference: c
# CARs: CAR-055
# CALs: CAL-032
# Comments:
# Created by: Sloan/Kendrew


Pointing  x   y
  1 -22.0   0.00
  2 -21.0   0.00
  3 -20.0   0.00
  4 -19.0   0.00
  5 -18.0   0.00
  6 -17.0   0.00
  7 -16.0   0.00
  8 -15.0   0.00
  9 -14.0   0.00
 10 -13.0   0.00
 11 -12.0   0.00
 12 -11.0   0.00
 13 -10.0   0.00
 14 -9.0    0.00
 15 -8.0    0.00
 16 -7.0    0.00
 17 -6.0    0.00
 18 -5.0    0.00
 19 -4.0    0.00
 20 -3.0    0.00
 21 -2.0    0.00
 22 -1.0    0.00
 23  0.0    0.00
 24  1.0    0.00
 25  2.0    0.00
 26  3.0    0.00
 27  4.0    0.00
 28  5.0    0.00
 29  6.0    0.00
 30  7.0    0.00
 31  8.0    0.00
 32  9.0    0.00
 33  10.0   0.00
 34  11.0   0.00
 35  12.0   0.00
 36  13.0   0.00
 37  14.0   0.00
 38  15.0   0.00
 39  16.0   0.00
 40  17.0   0.00
 41  18.0   0.00
 42  19.0   0.00
 43  20.0   0.00
 44  21.0   0.00
 45  22.0   0.00
