# Pattern name: 2PIXEL_SLIT_SCAN
# Mode: slit
# Frame: det-rel
# Reference: c
# CARs: 
# CALs: 
# Comments:
# Created by: S. Kendrew/G. Sloan


Pointing  x   y
  1 -22.0   0.00
  2 -20.0   0.00
  3 -18.0   0.00
  4 -16.0   0.00
  5 -14.0   0.00
  6 -12.0   0.00
  7 -10.0   0.00
  8 -8.0    0.00
  9 -6.0    0.00
 10 -4.0    0.00
 11 -2.0    0.00
 12  0.0    0.00
 13  2.0    0.00
 14  4.0    0.00
 15  6.0    0.00
 16  8.0    0.00
 17  10.0   0.00
 18  12.0   0.00
 19  14.0   0.00
 20  16.0   0.00
 21  18.0   0.00
 22  20.0   0.00
 23  22.0   0.00


