# Pattern name: LRS_1PIX_SLITLESS_SCAN_LONG
# Mode: slitless
# Frame: det-rel
# Reference: c
# CARs: CAR-055
# CALs:
# Comments:
# Created by: Sloan/Kendrew


Pointing  x   y
  1 -33.00  0.0000
  2 -32.00  0.0000
  3 -31.00  0.0000
  4 -30.00  0.0000
  5 -29.00  0.0000
  6 -28.00  0.0000
  7 -27.00  0.0000
  8 -26.00  0.0000
  9 -25.00  0.0000
 10 -24.00  0.0000
 11 -23.00  0.0000
 12 -22.00  0.0000
 13 -21.00  0.0000
 14 -20.00  0.0000
 15 -19.00  0.0000
 16 -18.00  0.0000
 17 -17.00  0.0000
 18 -16.00  0.0000
 19 -15.00  0.0000
 20 -14.00  0.0000
 21 -13.00  0.0000
 22 -12.00  0.0000
 23 -11.00  0.0000
 24 -10.00  0.0000
 25 -9.00  0.0000
 26 -8.00  0.0000
 27 -7.00  0.0000
 28 -6.00  0.0000
 29 -5.00  0.0000
 30 -4.00  0.0000
 31 -3.00  0.0000
 32 -2.00  0.0000
 33 -1.00  0.0000
 34  0.0000  0.0000
 35  1.00  0.0000
 36  2.00  0.0000
 37  3.00  0.0000
 38  4.00  0.0000
 39  5.00  0.0000
 40  6.00  0.0000
 41  7.00  0.0000
 42  8.00  0.0000
 43  9.00  0.0000
 44  10.00  0.0000
 45  11.00  0.0000
 46  12.00  0.0000
 47  13.00  0.0000
 48  14.00  0.0000
 49  15.00  0.0000
 50  16.00  0.0000
 51  17.00  0.0000
 52  18.00  0.0000
 53  19.00  0.0000
 54  20.00  0.0000
 55  21.00  0.0000
 56  22.00  0.0000
 57  23.00  0.0000
 58  24.00  0.0000
 59  25.00  0.0000
 60  26.00  0.0000
 61  27.00  0.0000
 62  28.00  0.0000
 63  29.00  0.0000
 64  30.00  0.0000
 65  31.00  0.0000
 66  32.00  0.0000
 67  33.00  0.0000

