# Pattern name: 1PIX_SLITLESS_SCAN_SHORT
# Mode: slitless
# Frame: det-rel
# Reference: center
# CARs: CAR-055
# CALs:
# Comments:
# Created by: Sloan/Kendrew


Pointing  x   y
  1 -25.00  0.0000
  2 -24.00  0.0000
  3 -23.00  0.0000
  4 -22.00  0.0000
  5 -21.00  0.0000
  6 -20.00  0.0000
  7 -19.00  0.0000
  8 -18.00  0.0000
  9 -17.00  0.0000
 10 -16.00  0.0000
 11 -15.00  0.0000
 12 -14.00  0.0000
 13 -13.00  0.0000
 14 -12.00  0.0000
 15 -11.00  0.0000
 16 -10.00  0.0000
 17 -9.00  0.0000
 18 -8.00  0.0000
 19 -7.00  0.0000
 20 -6.00  0.0000
 21 -5.00  0.0000
 22 -4.00  0.0000
 23 -3.00  0.0000
 24 -2.00  0.0000
 25 -1.00  0.0000
 26  0.00  0.0000
 27  1.00  0.0000
 28  2.00  0.0000
 29  3.00  0.0000
 30  4.00  0.0000
 31  5.00  0.0000
 32  6.00  0.0000
 33  7.00  0.0000
 34  8.00  0.0000
 35  9.00  0.0000
 36  10.00  0.0000
 37  11.00  0.0000
 38  12.00  0.0000
 39  13.00  0.0000
 40  14.00  0.0000
 41  15.00  0.0000
 42  16.00  0.0000
 43  17.00  0.0000
 44  18.00  0.0000
 45  19.00  0.0000
 46  20.00  0.0000
 47  21.00  0.0000
 48  22.00  0.0000
 49  23.00  0.0000
 50  24.00  0.0000
 51  25.00  0.0000
