# Pattern name: 2PIX_SLITLESS_SCAN_SHORT
# Mode: slitless
# Frame: det-rel
# Reference: center
# CARs: 
# CALs: CAL-032
# Comments: external flat field measurement
# Created by: Sloan/Kendrew


Pointing  x   y
  1 -26.00  0.0000
  2 -24.00  0.0000
  3 -22.00  0.0000
  4 -20.00  0.0000
  5 -18.00  0.0000
  6 -16.00  0.0000
  7 -14.00  0.0000
  8 -12.00  0.0000
  9 -10.00  0.0000
 10 -8.00  0.0000
 11 -6.00  0.0000
 12 -4.00  0.0000
 13 -2.00  0.0000
 14  0.00  0.0000
 15  2.00  0.0000
 16  4.00  0.0000
 17  6.00  0.0000
 18  8.00  0.0000
 19  10.00  0.0000
 20  12.00  0.0000
 21  14.00  0.0000
 22  16.00  0.0000
 23  18.00  0.0000
 24  20.00  0.0000
 25  22.00  0.0000
 26  24.00  0.0000
 27  26.00  0.0000
