# Pattern name: 5PIXEL_8X4_MAP_SLITLESS 
# Mode: slitless
# Frame: det-rel
# Reference: c
# CARs: CAR-075
# CALs:
# Comments: superseded by combined 9x3+8x4 scan maps
# Created by: Detre


Pointing  x   y
  1 -17.50   -7.50
  2 -12.50   -7.50
  3 -7.50    -7.50
  4 -2.50    -7.50
  5  2.50    -7.50
  6  7.50    -7.50
  7  12.50   -7.50
  8  17.50   -7.50
  9  17.50   -2.50
 10  12.50   -2.50
 11  7.50    -2.50
 12  2.50    -2.50
 13 -2.50    -2.50
 14 -7.50    -2.50
 15 -12.50   -2.50
 16 -17.50   -2.50
 17 -17.50    2.50
 18 -12.50    2.50
 19 -7.50     2.50
 20 -2.50     2.50
 21  2.50     2.50
 22  7.50     2.50
 23  12.50    2.50
 24  17.50    2.50 
 25  17.50    7.50
 26  12.50    7.50
 27  7.50     7.50
 28  2.50     7.50
 29 -2.50     7.50
 30 -7.50     7.50
 31 -12.50    7.50
 32 -17.50    7.50
