# Pattern name: 7PIXEL_9X3_MAP_SLITLESS
# Mode: slitless
# Frame:det-rel
# Reference: c
# CARs: CAR-075
# CALs:
# Comments: supserseded by combined 9x3+8x4 scan maps
# Created by: Detre


Pointing  x   y
  1 -28.00 -7.00
  2 -21.00 -7.00
  3 -14.00 -7.00
  4 -7.00  -7.00
  5  0.00  -7.00
  6  7.00  -7.00
  7  14.00 -7.00
  8  21.00 -7.00
  9  28.00 -7.00
 10  28.00  0.0000
 11  21.00  0.0000
 12  14.00  0.0000
 13  7.00   0.0000
 14  0.00   0.0000
 15 -7.00   0.0000
 16 -14.00  0.0000
 17 -21.00  0.0000
 18 -28.00  0.0000
 19 -28.00  7.00
 20 -21.00  7.00
 21 -14.00  7.00
 22 -7.00   7.00
 23  0.00   7.00
 24  7.00   7.00
 25  14.00  7.00
 26  21.00  7.00
 27  28.00  7.00
